,ApartmentName,Streetname,NoofBedrooms,NoofBathrooms,Price,Latitude,longitude,Neighborhood
0,571 Prince Edward Dr N,571 Prince Edward Dr N,1,1,"$2,000",43.66018,-79.50995,Kingsway South
1,571 Prince Edward Dr N,571 Prince Edward Dr N,1,1,"$2,300",43.66018,-79.50995,Kingsway South
2,571 Prince Edward Dr N,571 Prince Edward Dr N,2,2,"$2,700",43.66018,-79.50995,Kingsway South
3,571 Prince Edward Dr N,571 Prince Edward Dr N,2,2,"$3,850",43.66018,-79.50995,Kingsway South
4,eCentral,15 Roehampton Ave,1,1,"$2,002.5",43.70794,-79.39786,Mt Pleasant West
5,eCentral,15 Roehampton Ave,1,1,"$2,248.5",43.70794,-79.39786,Mt Pleasant West
6,eCentral,15 Roehampton Ave,2,2,"$2,455.8",43.70794,-79.39786,Mt Pleasant West
7,eCentral,15 Roehampton Ave,2,2,"$3,608",43.70794,-79.39786,Mt Pleasant West
8,eCentral,15 Roehampton Ave,2,2,"$3,847",43.70794,-79.39786,Mt Pleasant West
9,eCentral,15 Roehampton Ave,2.5,2.5,"$4,998.3",43.70794,-79.39786,Mt Pleasant West
10,Bayview Towers,505 Cummer Ave,1,1,"$1,647",43.79215,-79.39163,Bayview Woods-Steeles
11,Bayview Towers,505 Cummer Ave,1,1,"$1,927",43.79215,-79.39163,Bayview Woods-Steeles
12,Bayview Towers,505 Cummer Ave,1,1,"$2,227",43.79215,-79.39163,Bayview Woods-Steeles
13,Bayview Towers,50 Ruddington Drive,1,1,"$1,587",43.79048,-79.39065,Bayview Woods-Steeles
14,Bayview Towers,50 Ruddington Drive,1,1,"$1,927",43.79048,-79.39065,Bayview Woods-Steeles
15,Bayview Towers,50 Ruddington Drive,1,1,"$2,227",43.79048,-79.39065,Bayview Woods-Steeles
16,Bayview Towers,60 Ruddington Drive,1,1,"$1,587",43.79163,-79.39042,Bayview Woods-Steeles
17,Bayview Towers,60 Ruddington Drive,1,1,"$1,927",43.79163,-79.39042,Bayview Woods-Steeles
18,Bayview Towers,60 Ruddington Drive,1,1,"$2,227",43.79163,-79.39042,Bayview Woods-Steeles
19,Kings Club,1100 King Street West,1,1,"$2,150",43.64008,-79.42332,South Parkdale
20,Kings Club,1100 King Street West,1,1,"$2,170",43.64008,-79.42332,South Parkdale
21,Kings Club,1100 King Street West,1,1,"$2,480",43.64008,-79.42332,South Parkdale
22,Kings Club,1100 King Street West,1,1,"$3,635",43.64008,-79.42332,South Parkdale
23,Kings Club,1100 King Street West,1,1,"$3,815",43.64008,-79.42332,South Parkdale
24,70 Ruddington Drive,70 Ruddington Drive,1,1,"$1,837",43.79255,-79.39074,Bayview Woods-Steeles
25,70 Ruddington Drive,70 Ruddington Drive,1,1,"$2,487",43.79255,-79.39074,Bayview Woods-Steeles
26,Clipper Place,70 Clipper Road,1,1,"$1,550",43.78801,-79.33197,Pleasant View
27,Clipper Place,70 Clipper Road,1,1,"$1,787",43.78801,-79.33197,Pleasant View
28,Clipper Place,70 Clipper Road,2,2,"$1,837",43.78801,-79.33197,Pleasant View
29,665 Roselawn Avenue,665 Roselawn Avenue,1,1,"$1,205",43.70518,-79.42507,Forest Hill North
30,665 Roselawn Avenue,665 Roselawn Avenue,1,1,"$1,440",43.70518,-79.42507,Forest Hill North
31,665 Roselawn Avenue,665 Roselawn Avenue,1,1,"$1,695",43.70518,-79.42507,Forest Hill North
32,1182 Ossington Ave ,1182 Ossington Ave | Unit: 2nd Floor,1,1,"$2,800",43.67338,-79.43071,Wychwood
33,43 Eglinton Avenue East,43 Eglinton Avenue East,1,1,"$2,500",43.70676,-79.39691,Mt Pleasant West
34,43 Eglinton Avenue East,43 Eglinton Ave E,1,1,"$2,550",43.70676,-79.39691,Mt Pleasant West
35,43 Eglinton Avenue East,43 Eglinton Ave E | Unit: Yonge St,1,1,"$2,500",43.70676,-79.39691,Mt Pleasant West
40,Penrose Building,750 Bay Street,2,2,"$3,800",43.65966,-79.38588,Bay Street Corridor
